Brand,Type,Reg_year,Reg_month,Days_since_registration,Coe_left,Depreciation,Mileage,Road_Tax,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,ARF,Power,Number_of_Owners,Price
Honda,Mid-Sized Sedan,2019,7,2025,2928,10080,35000,742,38735,29159,1597,1237,2019,Auto,20084,20118,92,1,91800
Bmw,Sports Car,2016,4,3198,1781,15470,50000,684,41412,49501,1499,1360,2016,Auto,26848,24588,100,2,88000
Nissan,Mid-Sized Sedan,2018,6,2416,2567,8470,55805,742,37952,36426,1598,1205,2018,Auto,16419,16419,85,1,67800
Mercedes-Benz,Luxury Sedan,2010,5,5370,3261,8920,137600,1071,30046,33568,1796,1650,2009,Auto,39845,39845,150,4,79800
Subaru,Suv,2017,9,2680,2301,12570,69666,1210,42664,47501,1998,1682,2017,Auto,16906,16906,177,2,87800
Toyota,Luxury Sedan,2006,9,6698,1849,9250,191249,1815,24572,48479,1998,1530,2006,Auto,28129,30942,108,3,46900
Hyundai,Mid-Sized Sedan,2017,8,2714,2268,8590,49212,738,38084,45923,1591,1345,2017,Auto,12698,12698,93,2,59800
Mercedes-Benz,Suv,2019,5,2071,2908,13770,30445,740,45170,26659,1595,1435,2019,Auto,28463,31849,90,1,125888
Mercedes-Benz,Luxury Sedan,2017,4,2842,2137,15170,45500,740,52519,51765,1595,1430,2017,Auto,30372,29521,90,1,103800
Hyundai,Mid-Sized Sedan,2019,1,2212,2767,7970,48584,608,25762,25501,1368,1115,2018,Auto,8517,8517,73,1,64800
Honda,Suv,2016,10,3023,1958,10130,87069,682,40229,51506,1496,1185,2016,Auto,21244,16742,96,2,62800
Hyundai,Mid-Sized Sedan,2018,8,2354,2628,8510,29000,738,32513,33798,1591,1345,2018,Auto,10867,10867,93,1,66800
Honda,Mpv,2016,9,3044,1937,12100,95305,1630,53704,57002,2356,1769,2016,Auto,28006,31209,129,2,79900
Honda,Mid-Sized Sedan,2008,10,5959,2674,7610,93850,1573,23683,32279,1998,1312,2008,Auto,22248,22248,114,1,55800
Mercedes-Benz,Hatchback,2016,3,3236,1744,13630,90000,740,38162,51301,1595,1395,2015,Auto,23157,19420,90,2,75000
Subaru,Suv,2015,11,3351,1630,11960,100000,1208,35911,57501,1995,1566,2015,Auto,14528,14528,110,2,60800
Rolls-Royce,Luxury Sedan,2013,5,4261,354,198240,9900,8004,218757,91910,6592,2495,2012,Auto,364652,364652,420,1,575000
Volvo,Luxury Sedan,2020,7,1650,3302,12720,8000,1176,57377,34989,1969,1605,2019,Auto,33814,39340,140,2,135888
Volkswagen,Hatchback,2015,10,3390,1592,9810,74200,508,29835,55399,1197,1229,2015,Auto,18038,8038,77,2,46888
Mazda,Luxury Sedan,2015,1,3652,1328,11760,133000,1210,32004,75200,1998,1438,2014,Auto,17073,7073,114,1,46500
Mercedes-Benz,Sports Car,2008,6,6060,2575,8920,218000,3097,26763,37906,2997,1525,2008,Auto,63086,63086,170,3,63000
Mercedes-Benz,Luxury Sedan,2020,1,1835,3144,18510,34000,1202,82120,38000,1991,1615,2018,Auto,54498,70097,135,1,194800
