Brand,Type,Reg_year,Coe_left,Depreciation,Mileage,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,Power,Number_of_Owners,Price
Peugeot,Stationwagon,2018,2727,10130,55348,35197,25000,1199,1190,2018,Auto,21414,96,1,86800
Mercedes-Benz,Luxury Sedan,2019,2858,15890,22000,56970,32909,1595,1490,2018,Auto,35914,115,1,145800
Nissan,Suv,2016,1978,10050,62288,43520,53001,1997,1379,2016,Auto,19653,106,1,64400
Toyota,Mpv,2009,1009,8850,112338,9164,16509,1794,1310,2009,Auto,18662,97,2,24555
Audi,Suv,2018,2667,11920,30000,39363,28000,999,1315,2018,Auto,23688,85,2,99800
Jeep,Suv,2007,2285,11770,130000,31565,50355,3778,2125,2007,Auto,34111,146,4,73800
Hyundai,Mid-Sized Sedan,2009,2800,6230,128264,19785,25727,1591,1264,2009,Auto,10658,89,1,47900
Honda,Mid-Sized Sedan,2017,2040,12310,68000,50746,56206,1498,1324,2016,Auto,27624,127,1,81800
Mercedes-Benz,Luxury Sedan,2016,1964,17220,80000,59830,57903,1595,1425,2016,Auto,36548,115,2,111888
Kia,Sports Car,2010,1473,8220,152000,13547,16438,1591,1232,2010,Auto,15484,92,4,33888
Mercedes-Benz,Luxury Sedan,2018,2724,30520,35000,126349,31301,2996,1940,2018,Auto,91812,200,1,296800
Kia,Mid-Sized Sedan,2018,2412,8460,70000,34002,38200,1591,1295,2017,Auto,11608,95,1,61800
Bmw,Suv,2019,3063,20420,6460,74692,41805,1998,1660,2019,Auto,43394,135,1,198000
Honda,Suv,2018,2756,9790,24500,29372,25501,1496,1190,2018,Auto,22459,96,1,80800
Volkswagen,Suv,2015,1662,15180,11300,53791,55001,1984,1689,2015,Auto,34986,155,1,89800
Honda,Stationwagon,2020,3304,8520,16000,36236,31210,1496,1130,2019,Auto,20445,95,1,82500
Toyota,Mid-Sized Sedan,2008,2540,6420,170000,26640,38192,1598,1195,2008,Auto,16777,80,2,44800
Audi,Luxury Sedan,2019,2816,16170,37791,61451,36667,1984,1535,2018,Auto,38186,140,1,147800
Maserati,Sports Car,2015,1412,39500,16000,166137,71921,4691,1880,2014,Auto,134057,338,2,260000
Bmw,Luxury Sedan,2011,3609,9770,117342,46862,47316,2979,1700,2010,Auto,63320,225,2,96800
Audi,Luxury Sedan,2016,1751,14150,87362,41194,46502,1395,1450,2016,Auto,32076,110,2,81500
Mercedes-Benz,Luxury Sedan,2016,1814,27480,122000,116909,46502,2996,1940,2016,Auto,89948,200,1,203888
Mazda,Hatchback,2020,3386,7830,5000,48730,37766,1496,1067,2019,Auto,18205,85,1,81800
Mercedes-Benz,Luxury Sedan,2013,303,17280,49400,49900,73900,1796,1650,2012,Auto,52216,150,2,64800
Audi,Luxury Sedan,2017,2285,16540,84000,62504,49000,1984,1535,2017,Auto,39560,140,2,124888
Mercedes-Benz,Luxury Sedan,2018,2541,15270,65000,59595,37605,1595,1425,2018,Auto,37480,115,1,128800
Mitsubishi,Mid-Sized Sedan,2017,2177,8880,73000,40948,51600,1590,1284,2016,Auto,13468,86,2,59800
Bmw,Luxury Sedan,2018,2528,26230,39900,128459,38501,2998,1770,2017,Auto,90911,240,1,249900
Nissan,Hatchback,2016,1782,8640,120600,24552,43000,1198,1044,2016,Auto,13026,58,2,44800
Honda,Hatchback,2020,3410,8210,4432,38829,36534,1317,1030,2019,Auto,16209,73,1,79888
Mitsubishi,Suv,2018,2562,11280,61292,41033,37989,1998,1480,2018,Auto,19130,110,1,88800
Mini,Sports Car,2009,2850,8280,174000,19965,25525,1598,1205,2009,Auto,30413,88,4,64777
Toyota,Mpv,2016,1989,9930,57000,34135,50000,1496,1320,2016,Auto,19112,80,2,58800
Hyundai,Mid-Sized Sedan,2009,2879,5670,112000,20689,26175,1591,1264,2009,Manual,9306,89,1,44800
Toyota,Luxury Sedan,2018,2577,11040,40000,49163,33900,2494,1475,2018,Auto,29723,133,1,94800
Mercedes-Benz,Suv,2017,2346,28380,72792,116282,50001,2996,2180,2017,Auto,77844,270,2,238800
Mitsubishi,Suv,2016,1796,10130,86000,36817,49602,1998,1355,2016,Auto,17632,110,1,58800
Mazda,Mid-Sized Sedan,2016,2026,9470,67000,38355,49751,1496,1321,2016,Auto,19247,88,1,59800
Mitsubishi,Suv,2020,3392,11340,23000,54476,37102,1998,1480,2020,Auto,24720,110,1,118777
Mazda,Suv,2018,2648,12030,91000,46866,32551,1998,1572,2018,Auto,27823,121,1,102888
Mercedes-Benz,Luxury Sedan,2007,2032,11080,102000,29374,52660,2997,1850,2006,Auto,81924,170,3,61800
Mitsubishi,Mid-Sized Sedan,2019,2930,7510,19631,27173,29159,1193,940,2019,Auto,13423,59,1,62800
Mercedes-Benz,Luxury Sedan,2011,3490,7600,68500,35719,37303,1597,1500,2011,Auto,31979,115,2,72800
Mitsubishi,Mid-Sized Sedan,2020,3365,5880,5000,18236,15699,1193,945,2020,Auto,14537,59,1,56800
Mitsubishi,Suv,2019,2924,11350,20500,51846,42564,1998,1480,2018,Auto,22595,110,1,102800
Toyota,Mpv,2019,2850,18710,47500,70475,39401,2493,1980,2018,Auto,43482,134,1,172800
Audi,Hatchback,2015,1465,12530,42000,45888,66590,1390,1125,2010,Auto,32390,90,2,64000
Honda,Hatchback,2009,983,8790,150000,6964,12864,1339,1010,2008,Auto,14665,73,5,23800
Daihatsu,Suv,2009,965,8210,163000,6915,13024,1495,1200,2008,Auto,17477,77,2,21800
Mitsubishi,Mid-Sized Sedan,2009,1057,7900,133000,8114,13943,1499,1313,2009,Auto,19550,80,5,23000
Honda,Mid-Sized Sedan,2008,2700,8480,110000,23913,32279,1799,1219,2008,Auto,23035,103,6,62800
Audi,Suv,2017,2147,22710,37400,90718,54406,1984,2050,2016,Auto,58993,185,1,173000
Nissan,Hatchback,2018,2416,6230,25000,23510,29791,1198,1048,2017,Auto,13622,58,1,43800
Volkswagen,Mpv,2016,1810,13490,68000,45680,47000,1984,1790,2013,Auto,28478,147,2,83000
Mercedes-Benz,Hatchback,2016,1843,12860,50000,38769,47020,1595,1395,2016,Auto,23217,90,2,75800
Hyundai,Mid-Sized Sedan,2017,2348,7420,35000,28374,30112,1591,1345,2017,Auto,11960,93,1,53800
Mazda,Mpv,2013,352,10880,93788,22919,65001,1999,1527,2013,Auto,20582,106,3,31900
Volkswagen,Sports Car,2009,1054,10340,182609,7595,13088,1390,1285,2009,Auto,23955,118,4,30000
Honda,Hatchback,2018,2418,9070,25000,31401,41400,1318,1052,2017,Auto,15224,73,1,62800
Mazda,Mid-Sized Sedan,2016,1849,9500,65000,36443,55200,1496,1321,2016,Auto,16287,88,2,53800
Mazda,Mid-Sized Sedan,2016,1889,8870,102000,36251,53000,1496,1321,2016,Auto,16723,88,3,51800
Mitsubishi,Mid-Sized Sedan,2007,4,11870,300000,5118,25313,1584,1162,2007,Manual,9975,79,5,12000
Toyota,Mpv,2018,2561,20260,73000,71257,38700,2494,2055,2018,Auto,48192,134,2,172000
Hyundai,Mid-Sized Sedan,2018,2437,9830,60653,35391,40000,1591,1345,2018,Auto,11491,93,2,71550
Porsche,Suv,2020,3220,37840,2241,142309,36000,2995,2030,2020,Auto,97408,250,1,408000
Honda,Hatchback,2007,164,8100,200000,6121,20997,1339,1040,2007,Auto,13710,60,3,11800
Citroen,Suv,2016,2027,6390,38808,25573,33991,1199,1240,2016,Auto,18879,96,2,39999
Subaru,Suv,2015,1374,9850,66000,30812,62002,1600,1480,2014,Auto,16391,84,2,42900
Mercedes-Benz,Sports Car,2014,1189,33490,46000,119566,65001,5461,1870,2014,Auto,99605,430,4,185000
Toyota,Mid-Sized Sedan,2009,2879,5920,142000,20689,26175,1497,1095,2009,Auto,12717,80,5,46800
Toyota,Mpv,2009,2812,7120,454249,24663,31933,1998,1540,2008,Auto,23511,110,3,55000
Audi,Sports Car,2017,2193,16070,28000,51600,42801,1395,1450,2017,Auto,33591,85,1,114939
Volkswagen,Hatchback,2018,2437,9410,34000,40756,40000,999,1257,2017,Auto,18644,81,2,72300
Subaru,Mid-Sized Sedan,2018,2705,9730,37000,33129,31302,1995,1438,2017,Auto,13173,115,1,78888
Volkswagen,Sports Car,2010,1629,10700,105899,16319,18238,1390,1285,2010,Auto,26402,118,2,47888
Mercedes-Benz,Luxury Sedan,2015,1310,16250,129000,59082,72890,1991,1655,2014,Auto,45353,135,2,83800
Kia,Mid-Sized Sedan,2009,1054,6480,155000,7595,13088,1591,1251,2009,Auto,11851,92,4,18800
